epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.153,0.62524,3.34217,1.17628,0.50197,0.26382,0.34234,0.30919,0.40315,3.18405,0.92993,0.000192621,0.000192621,0.000192621
2,494.614,0.67155,2.29741,1.18349,0.58536,0.61354,0.66131,0.56849,0.47881,2.2484,0.96625,0.000369384,0.000369384,0.000369384
3,705.564,0.65105,1.65034,1.14478,0.80782,0.69945,0.80811,0.71244,0.45564,1.76302,0.96703,0.000526743,0.000526743,0.000526743
4,882.501,0.63879,1.50229,1.11742,0.79109,0.74048,0.84831,0.71885,0.49663,1.86232,0.97368,0.000500682,0.000500682,0.000500682
5,1060.98,0.6319,1.3959,1.11399,0.82762,0.84737,0.90801,0.80677,0.42011,1.30146,0.92668,0.000471576,0.000471576,0.000471576
6,1234.43,0.59802,1.21045,1.09466,0.89088,0.87832,0.93914,0.83916,0.41295,1.149,0.91185,0.00044247,0.00044247,0.00044247
7,1440.65,0.58453,1.13035,1.08646,0.88594,0.84282,0.9201,0.81807,0.402,1.19313,0.9033,0.000413364,0.000413364,0.000413364
8,1672.42,0.57102,1.08575,1.07675,0.8833,0.8073,0.90065,0.80991,0.38998,1.24419,0.90112,0.000384258,0.000384258,0.000384258
9,1847.48,0.54602,0.99368,1.05872,0.89781,0.89959,0.94589,0.84524,0.37739,0.96526,0.89414,0.000355152,0.000355152,0.000355152
10,2065.88,0.52026,0.90976,1.04974,0.94275,0.91388,0.96532,0.87325,0.35915,0.90473,0.88578,0.000326046,0.000326046,0.000326046
11,2282.44,0.38402,1.09669,0.94585,0.94006,0.84957,0.94305,0.84444,0.38193,0.93813,0.89078,0.00029694,0.00029694,0.00029694
12,2465.79,0.35377,0.95853,0.92064,0.93292,0.91119,0.95742,0.85591,0.34638,0.84614,0.86004,0.000267834,0.000267834,0.000267834
13,2683.08,0.32047,0.852,0.89254,0.94715,0.94629,0.96769,0.88367,0.3218,0.77211,0.84832,0.000238728,0.000238728,0.000238728
14,2994.18,0.30641,0.81866,0.8811,0.93281,0.92395,0.96497,0.87872,0.31317,0.72949,0.84435,0.000209622,0.000209622,0.000209622
15,3319.01,0.29611,0.77047,0.87293,0.94498,0.92495,0.9657,0.89083,0.28279,0.68076,0.82839,0.000180516,0.000180516,0.000180516
16,3643.64,0.27411,0.73287,0.85872,0.9488,0.93726,0.96477,0.89676,0.28254,0.65867,0.82151,0.00015141,0.00015141,0.00015141
17,3877.77,0.26218,0.68879,0.85317,0.9532,0.94258,0.96967,0.90929,0.26994,0.61469,0.82028,0.000122304,0.000122304,0.000122304
18,4103.29,0.25287,0.66155,0.83869,0.96051,0.9412,0.96882,0.90637,0.25658,0.59767,0.81042,9.3198e-05,9.3198e-05,9.3198e-05
19,4345.13,0.24808,0.63404,0.83758,0.95163,0.94332,0.96857,0.91397,0.24984,0.57479,0.80627,6.4092e-05,6.4092e-05,6.4092e-05
20,4550.54,0.23529,0.60909,0.83871,0.95741,0.95512,0.97059,0.91456,0.24312,0.56494,0.80537,3.4986e-05,3.4986e-05,3.4986e-05
